Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
LAMB2__Malignant,ITGB1__Stroma,2.4059109224663944,2.616243736458445,0.9196050386816123,66.16640337019484,15.876777251184834
ARF1__Malignant,CAP1__Stroma,2.3684667889822473,3.5413291858431024,0.6688072937275878,68.06213796735123,13.217482885729332
TIMP3__Stroma,ADORA2A__Malignant,2.362864416533801,1.0308663439741617,2.2921152003319505,16.824644549763033,60.61084781463928
HSPA1A__Malignant,CAP1__Stroma,2.360418677781991,3.529295657985773,0.6688072937275878,67.7461822011585,13.217482885729332
FN1__Stroma,IL13RA1__Malignant,2.350996128404725,1.4325379738808335,1.6411405290958758,19.641916798314902,52.58030542390731
ARF1__Malignant,LAMP2__Stroma,2.3491047580612205,3.5413291858431024,0.6633398463639175,68.06213796735123,12.76987888362296
HSPA1A__Malignant,LAMP2__Stroma,2.341122439541124,3.529295657985773,0.6633398463639175,67.7461822011585,12.76987888362296
THBS1__Stroma,PRLR__Malignant,2.3339539831600056,0.9685631156406587,2.409707684992945,16.53501843075303,61.87467087941022
THBS1__Stroma,IFITM1__Malignant,2.3323431167654656,0.9685631156406587,2.4080445343231256,16.53501843075303,62.34860452869931
LGALS3BP__Malignant,CAP1__Stroma,2.330527486305745,3.484602378237509,0.6688072937275878,68.72037914691943,13.217482885729332
GNAS__Malignant,CD74__Macrophage,2.3292459705936945,3.67030013569406,0.6346200268314651,68.27277514481305,8.293838862559241
