ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
B2M__Malignant,CD81__Stroma,B2M__Malignant|CD81__Stroma,49.45135622705894,37.863588910032064,710.7718217402805,187816.25095036987,55.54736485978641,53.28807480900779,1.4535856479969007
TNFSF10__Malignant,CD74__Macrophage,TNFSF10__Malignant|CD74__Macrophage,49.158544322941516,19.88299456726163,1010.0117375465368,186704.15133853187,79.25248134968373,8.5561459417062,7.736225637451514
APOE__Macrophage,CD9__Malignant,APOE__Macrophage|CD9__Malignant,47.6987016075094,0,2530.0810327626173,181159.66870532068,191.63588547134984,6.424318242558926,10.56470171391948
PSAP__Macrophage,BAMBI__Malignant,PSAP__Macrophage|BAMBI__Malignant,46.31549782677565,0,2245.6922053673393,175906.2607460939,184.62146812721724,4.120553171189394,15.04070305679784
AZGP1__Malignant,CD74__Macrophage,AZGP1__Malignant|CD74__Macrophage,44.93421066937177,34.706389494520224,321.7415251445184,170660.132122274,48.934880308461416,8.49610378010731,7.736225637451514
B2M__Malignant,CD74__Stroma,B2M__Malignant|CD74__Stroma,44.76012963137214,34.90936903259171,802.6002475253531,169998.97233995138,52.87964848007165,53.28807480900779,1.3465733596013119
LYZ__Macrophage,CD74__Malignant,LYZ__Macrophage|CD74__Malignant,43.62168059357014,0,2398.8729240099533,165675.1428943794,187.79286237869402,2.1692082031036057,27.971675213352512
HLA-DRA__Macrophage,BAMBI__Malignant,HLA-DRA__Macrophage|BAMBI__Malignant,42.628727640564975,0,1715.774247549505,161903.9075788658,162.55846721183147,3.765344818249655,15.04070305679784
MIF__Malignant,CD81__Stroma,MIF__Malignant|CD81__Stroma,41.55298219325992,34.16613935568276,351.8159829430733,157818.22637000118,45.908495784570846,43.70585223720301,1.4535856479969007
B2M__Malignant,CD81__Macrophage,B2M__Malignant|CD81__Macrophage,40.80978355809885,27.682727655572073,559.1618977468647,154995.55795365945,52.97316998871131,53.28807480900779,1.0129718986130358
BST2__Malignant,CD74__Macrophage,BST2__Malignant|CD74__Macrophage,40.33720998488874,25.806351638362955,401.1605450808099,153200.7235226074,47.60411763381094,7.44177658449465,7.736225637451514
IGFBP4__Malignant,CD74__Macrophage,IGFBP4__Malignant|CD74__Macrophage,40.24962296461971,12.689985703335967,401.97531051496696,152868.06801962564,59.44375600970739,6.981457327415992,7.736225637451514
APOE__Macrophage,IL6ST__Malignant,APOE__Macrophage|IL6ST__Malignant,39.04640419725246,0,1746.856719459886,148298.24314116483,155.52835635651067,6.424318242558926,7.972520223468345
