Sender,Receiver,Ligand,Receptor,LRscore
Macrophage,Malignant,HLA-DRA,BAMBI,0.3153995523192394
Macrophage,Malignant,HLA-DRA,CD47,0.1585238030560763
Macrophage,Malignant,HLA-DRA,ERBB2,0.26308219578245584
Macrophage,Malignant,HLA-DRA,PRLR,0.19976892500565566
Macrophage,Malignant,HLA-DRA,ATP6AP2,0.21486590724186588
Macrophage,Malignant,HLA-DRA,CD163,0
Macrophage,Malignant,HLA-DRA,CD44,0.1722233910155073
Macrophage,Malignant,HLA-DRA,ENO1,0.2665069001805305
Macrophage,Malignant,HLA-DRA,FPR3,0.03756197749006032
Macrophage,Malignant,HLA-DRA,ITGB5,0.2082199967020454
Macrophage,Malignant,HLA-DRA,PLXNB2,0.23686871746044147
Macrophage,Malignant,HLA-DRA,TREM2,0.03716351207210754
Macrophage,Malignant,HLA-DRA,TYROBP,0.18003980182034282
Macrophage,Malignant,HLA-DRA,GFRA1,0.2349812434294974
Macrophage,Malignant,HLA-DRA,LDLR,0.05870593103225165
Macrophage,Malignant,HLA-DRA,CD63,0.310138146225928
Macrophage,Malignant,HLA-DRA,MRC2,0
Macrophage,Bcell,HLA-DRA,CD74,0.13207586221859732
Macrophage,Stroma,LYZ,CD74,0.3333174539784608
Macrophage,Stroma,LYZ,CD81,0.2597648337149057
Macrophage,Stroma,LYZ,FLOT1,0.18808935474692823
Macrophage,Stroma,LYZ,IL6ST,0.22048672137750353
Macrophage,Stroma,LYZ,LAMP2,0.146507284116541
Macrophage,Stroma,LYZ,CAP1,0.14291569087348874
Macrophage,Stroma,LYZ,ITGB5,0.16715506928409737
Macrophage,Malignant,LYZ,ADORA2A,0.16599519076602848
Macrophage,Malignant,LYZ,CD55,0.1929889428229211
Macrophage,Malignant,LYZ,CD74,0.33258559487726513
Macrophage,Malignant,LYZ,MAGED1,0.13729945149526515
Macrophage,Malignant,LYZ,PLXNA3,0.07574163353868457
Macrophage,Malignant,LYZ,SDC1,0.20433357176229314
Macrophage,Malignant,LYZ,CD151,0.22900127710122573
